,date,sleepStart,sleepEnd,asleep,awake,timeInBed,sleepEfficiency
0,2023-06-28,00:04:00,07:55:30,7.083333333333333,0.7666666666666667,7.85,95
1,2023-06-29,23:32:00,07:26:30,6.316666666666666,1.5833333333333333,7.9,91
2,2023-06-30,01:39:00,08:00:30,5.166666666666667,1.1833333333333333,6.35,91
3,2023-07-01,01:21:00,09:29:30,7.2,0.9333333333333333,8.133333333333333,94
4,2023-07-02,01:24:00,11:34:30,8.683333333333334,1.4833333333333334,10.166666666666666,93
5,2023-07-03,01:14:00,08:10:30,6.083333333333333,0.85,6.933333333333334,96
6,2023-07-03,16:52:00,18:03:30,1.1666666666666667,0.016666666666666666,1.1833333333333333,99
7,2023-07-04,01:30:00,08:34:00,5.883333333333334,1.1833333333333333,7.066666666666666,93
8,2023-07-05,00:24:30,07:59:30,6.45,1.1333333333333333,7.583333333333333,92
9,2023-07-06,23:44:00,07:45:30,7.016666666666667,1.0,8.016666666666667,93
10,2023-07-07,01:16:00,07:38:30,5.783333333333333,0.5833333333333334,6.366666666666666,95
11,2023-07-08,00:29:30,08:23:30,6.833333333333333,1.0666666666666667,7.9,95
12,2023-07-09,00:31:30,07:51:30,6.266666666666667,1.0666666666666667,7.333333333333333,94
13,2023-07-10,01:35:00,06:10:30,3.7666666666666666,0.8166666666666667,4.583333333333333,98
14,2023-07-11,01:36:00,09:12:30,6.633333333333334,0.9666666666666667,7.6,96
15,2023-07-12,00:44:00,08:43:30,6.716666666666667,1.2666666666666666,7.983333333333333,93
16,2023-07-12,15:21:30,16:51:30,1.5,0.0,1.5,100
17,2023-07-13,01:34:00,07:38:30,5.016666666666667,1.05,6.066666666666666,92
18,2023-07-14,01:13:30,07:37:30,5.666666666666667,0.7333333333333333,6.4,96
19,2023-07-15,01:06:00,09:26:30,7.15,1.1833333333333333,8.333333333333334,94
20,2023-07-16,01:29:30,09:05:30,6.933333333333334,0.6666666666666666,7.6,99
21,2023-07-17,23:10:00,07:54:30,7.233333333333333,1.5,8.733333333333333,94
22,2023-07-18,00:34:30,06:55:30,5.45,0.9,6.35,93
23,2023-07-19,00:46:00,08:01:30,6.166666666666667,1.0833333333333333,7.25,91
24,2023-07-20,00:45:30,08:36:30,7.016666666666667,0.8333333333333334,7.85,96
25,2023-07-21,00:42:00,09:01:30,7.25,1.0666666666666667,8.316666666666666,97
26,2023-07-22,00:47:00,09:11:30,7.233333333333333,1.1666666666666667,8.4,94
27,2023-07-23,00:28:30,09:00:30,7.5,1.0333333333333334,8.533333333333333,92
28,2023-07-24,02:23:00,06:54:30,4.133333333333334,0.38333333333333336,4.516666666666667,97
29,2023-07-25,01:29:30,08:34:00,6.4,0.6666666666666666,7.066666666666666,96
30,2023-07-26,00:27:00,07:12:30,5.933333333333334,0.8166666666666667,6.75,98
0,2023-07-26,00:27:00,07:12:30,5.933333333333334,0.8166666666666667,6.75,98
1,2023-07-27,01:07:00,07:48:30,6.116666666666666,0.5666666666666667,6.683333333333334,96
2,2023-07-28,00:30:00,08:02:30,6.65,0.8833333333333333,7.533333333333333,96
3,2023-07-29,00:18:00,07:54:30,6.783333333333333,0.8166666666666667,7.6,97
4,2023-07-30,02:12:30,08:42:00,5.816666666666666,0.6666666666666666,6.483333333333333,95
5,2023-07-31,00:24:30,08:24:00,6.966666666666667,1.0166666666666666,7.983333333333333,97
6,2023-08-01,00:19:30,07:45:00,6.45,0.9666666666666667,7.416666666666667,97
7,2023-08-02,00:00:00,07:35:30,6.333333333333333,1.25,7.583333333333333,93
8,2023-08-03,02:26:30,07:18:00,4.316666666666666,0.5333333333333333,4.85,97
9,2023-08-04,01:34:00,07:39:30,5.366666666666666,0.7166666666666667,6.083333333333333,96
10,2023-08-05,02:08:30,09:31:30,6.166666666666667,1.2166666666666666,7.383333333333334,94
11,2023-08-06,00:51:00,08:35:30,6.483333333333333,1.25,7.733333333333333,96
12,2023-08-07,00:14:30,07:58:00,6.8,0.9166666666666666,7.716666666666667,94
13,2023-08-08,01:15:30,09:00:30,6.15,1.6,7.75,89
14,2023-08-09,23:44:30,07:46:00,7.283333333333333,0.7333333333333333,8.016666666666667,95
15,2023-08-10,00:19:00,08:07:00,6.716666666666667,1.0833333333333333,7.8,95
16,2023-08-11,01:36:00,08:47:00,6.15,1.0333333333333334,7.183333333333334,97
17,2023-08-12,00:22:30,07:53:00,6.8,0.7,7.5,98
18,2023-08-13,00:35:30,07:39:30,5.75,1.3166666666666667,7.066666666666666,96
19,2023-08-14,23:53:30,08:06:30,7.083333333333333,1.1333333333333333,8.216666666666667,92
20,2023-08-15,00:43:30,07:54:00,6.15,1.0166666666666666,7.166666666666667,97
21,2023-08-16,23:52:30,08:04:30,7.183333333333334,1.0166666666666666,8.2,97
22,2023-08-17,00:57:00,08:30:30,6.716666666666667,0.8333333333333334,7.55,96
23,2023-08-18,00:40:30,08:23:30,6.666666666666667,1.05,7.716666666666667,93
24,2023-08-19,23:42:00,08:28:30,7.616666666666666,1.15,8.766666666666667,94
25,2023-08-20,01:31:00,08:10:00,6.183333333333334,0.4666666666666667,6.65,97
26,2023-08-21,23:36:30,08:25:30,7.766666666666667,1.05,8.816666666666666,93
27,2023-08-22,00:01:30,08:05:30,7.0,1.0666666666666667,8.066666666666666,96
28,2023-08-23,01:28:00,08:19:00,6.316666666666666,0.5333333333333333,6.85,95
29,2023-08-24,01:07:00,10:31:30,8.3,1.1,9.4,95
30,2023-08-25,00:36:30,08:01:30,6.383333333333334,1.0333333333333334,7.416666666666667,94
0,2023-08-25,00:36:30,08:01:30,6.383333333333334,1.0333333333333334,7.416666666666667,94
1,2023-08-26,00:51:30,09:15:30,7.416666666666667,0.9833333333333333,8.4,94
2,2023-08-27,23:55:00,08:10:30,7.183333333333334,1.0666666666666667,8.25,95
3,2023-08-28,23:50:30,08:16:00,7.35,1.0666666666666667,8.416666666666666,93
4,2023-08-29,00:27:30,07:20:30,6.233333333333333,0.65,6.883333333333334,96
5,2023-08-30,02:14:00,08:53:30,5.566666666666666,1.0833333333333333,6.65,91
6,2023-08-31,02:36:00,07:38:30,4.216666666666667,0.8166666666666667,5.033333333333333,90
7,2023-09-01,00:33:30,07:29:30,5.883333333333334,1.05,6.933333333333334,95
8,2023-09-02,01:54:00,09:51:00,6.983333333333333,0.9666666666666667,7.95,95
9,2023-09-03,02:08:30,09:22:00,6.316666666666666,0.9,7.216666666666667,98
10,2023-09-04,00:05:00,07:35:30,6.433333333333334,1.0666666666666667,7.5,91
11,2023-09-05,00:42:00,08:07:00,6.1,1.3166666666666667,7.416666666666667,92
12,2023-09-06,00:38:00,07:40:00,6.2,0.8333333333333334,7.033333333333333,93
13,2023-09-07,00:02:30,07:08:30,6.066666666666666,1.0333333333333334,7.1,94
14,2023-09-08,01:20:00,08:25:00,6.366666666666666,0.7166666666666667,7.083333333333333,96
15,2023-09-09,01:23:00,09:01:00,6.75,0.8833333333333333,7.633333333333334,93
16,2023-09-10,00:44:30,10:46:30,9.05,0.9833333333333333,10.033333333333333,98
17,2023-09-11,01:36:30,10:27:30,7.616666666666666,1.2333333333333334,8.85,97
18,2023-09-12,01:08:00,09:19:00,7.166666666666667,1.0166666666666666,8.183333333333334,95
19,2023-09-13,01:41:00,09:52:30,7.116666666666666,1.0666666666666667,8.183333333333334,93
20,2023-09-14,00:45:00,10:53:30,9.316666666666666,0.8166666666666667,10.133333333333333,97
21,2023-09-15,00:46:30,09:54:30,7.65,1.4833333333333334,9.133333333333333,93
22,2023-09-16,01:16:00,09:15:30,6.583333333333333,1.4,7.983333333333333,92
23,2023-09-17,01:05:00,09:31:00,7.366666666666666,1.0666666666666667,8.433333333333334,96
24,2023-09-18,00:56:00,10:19:30,7.85,1.5333333333333334,9.383333333333333,92
25,2023-09-19,00:04:30,05:59:00,5.116666666666666,0.7833333333333333,5.9,95
26,2023-09-20,00:11:00,09:18:30,7.833333333333333,1.2833333333333334,9.116666666666667,89
27,2023-09-21,00:35:30,06:09:30,4.85,0.7166666666666667,5.566666666666666,96
28,2023-09-22,23:31:00,07:28:30,6.683333333333334,1.2666666666666666,7.95,85
29,2023-09-23,23:27:30,07:29:30,6.866666666666666,1.1666666666666667,8.033333333333333,91
30,2023-09-24,23:34:30,06:59:30,6.083333333333333,1.3333333333333333,7.416666666666667,91
0,2023-09-24,23:34:30,06:59:30,6.083333333333333,1.3333333333333333,7.416666666666667,91
1,2023-09-25,00:37:00,06:55:30,5.483333333333333,0.8166666666666667,6.3,96
2,2023-09-26,00:19:30,08:47:00,7.533333333333333,0.9166666666666666,8.45,94
3,2023-09-27,00:59:30,09:15:30,7.3,0.9666666666666667,8.266666666666667,95
4,2023-09-28,00:28:30,08:33:30,7.166666666666667,0.9166666666666666,8.083333333333334,96
5,2023-09-29,23:07:30,06:30:30,6.433333333333334,0.95,7.383333333333334,95
6,2023-09-29,13:27:00,14:44:00,1.15,0.13333333333333333,1.2833333333333334,90
7,2023-09-30,00:38:00,08:31:00,6.4,1.4833333333333334,7.883333333333334,94
8,2023-10-01,00:04:00,08:35:00,6.633333333333334,1.8833333333333333,8.516666666666667,92
9,2023-10-02,23:10:00,07:03:00,6.633333333333334,1.25,7.883333333333334,97
10,2023-10-03,00:32:30,08:20:30,6.8,1.0,7.8,97
11,2023-10-04,00:10:30,07:43:30,6.433333333333334,1.1166666666666667,7.55,96
12,2023-10-05,23:30:30,06:57:30,6.583333333333333,0.8666666666666667,7.45,94
13,2023-10-06,23:54:30,07:06:00,6.416666666666667,0.7666666666666667,7.183333333333334,95
14,2023-10-07,00:01:30,08:59:30,7.833333333333333,1.1333333333333333,8.966666666666667,95
15,2023-10-08,01:09:30,09:56:00,7.75,1.0166666666666666,8.766666666666667,98
16,2023-10-09,00:29:00,07:01:30,5.683333333333334,0.85,6.533333333333333,95
17,2023-10-10,23:09:00,07:49:30,7.433333333333334,1.2333333333333334,8.666666666666666,91
18,2023-10-11,01:33:00,08:17:00,6.016666666666667,0.7166666666666667,6.733333333333333,99
19,2023-10-12,23:32:30,07:35:30,7.366666666666666,0.6833333333333333,8.05,97
20,2023-10-15,00:29:00,05:29:30,4.016666666666667,0.9833333333333333,5.0,98
21,2023-10-15,08:35:00,17:20:30,7.516666666666667,1.2333333333333334,8.75,97
22,2023-10-22,01:35:30,08:13:30,5.4,1.2333333333333334,6.633333333333334,95
23,2023-10-23,23:22:30,07:40:30,7.516666666666667,0.7833333333333333,8.3,94
24,2023-10-24,23:58:30,06:52:00,6.216666666666667,0.6666666666666666,6.883333333333334,98
0,2023-10-24,23:58:30,06:52:00,6.216666666666667,0.6666666666666666,6.883333333333334,98
1,2023-10-25,23:36:00,07:13:30,6.533333333333333,1.0833333333333333,7.616666666666666,94
2,2023-10-26,01:05:00,07:39:30,5.433333333333334,1.1333333333333333,6.566666666666666,88
3,2023-10-27,00:17:30,07:36:30,6.15,1.1666666666666667,7.316666666666666,96
4,2023-10-28,23:20:30,01:00:30,1.6,0.06666666666666667,1.6666666666666667,96
5,2023-10-28,02:27:00,08:42:30,5.05,1.2,6.25,92
6,2023-10-29,01:47:30,09:17:00,6.85,0.6333333333333333,7.483333333333333,98
7,2023-10-30,00:03:30,07:05:30,6.233333333333333,0.8,7.033333333333333,95
8,2023-10-31,01:13:00,07:38:30,5.833333333333333,0.5833333333333334,6.416666666666667,95
9,2023-11-01,00:15:30,07:29:30,6.416666666666667,0.8166666666666667,7.233333333333333,97
10,2023-11-02,00:27:00,07:18:30,6.033333333333333,0.8166666666666667,6.85,93
11,2023-11-03,00:52:00,06:40:30,5.166666666666667,0.6333333333333333,5.8,97
12,2023-11-04,01:37:00,09:02:30,6.483333333333333,0.9333333333333333,7.416666666666667,96
13,2023-11-05,17:33:00,02:02:30,7.2,1.2833333333333334,8.483333333333333,98
14,2023-11-11,03:18:30,09:48:30,5.333333333333333,1.1666666666666667,6.5,96
15,2023-11-12,16:36:30,17:44:00,0.95,0.16666666666666666,1.1166666666666667,85
16,2023-11-12,23:50:30,08:20:00,7.233333333333333,1.25,8.483333333333333,93
17,2023-11-13,23:35:30,07:16:30,6.883333333333334,0.8,7.683333333333334,96
18,2023-11-14,00:34:00,07:23:30,5.9,0.9166666666666666,6.816666666666666,94
19,2023-11-15,01:28:00,07:57:00,5.916666666666667,0.5666666666666667,6.483333333333333,95
20,2023-11-16,02:43:00,07:53:00,4.45,0.7166666666666667,5.166666666666667,97
21,2023-11-17,01:11:30,10:07:30,7.966666666666667,0.9666666666666667,8.933333333333334,96
22,2023-11-18,01:57:30,09:39:30,6.6,1.1,7.7,94
23,2023-11-19,03:08:00,10:44:30,6.7,0.9,7.6,96
24,2023-11-20,01:46:00,07:03:00,4.666666666666667,0.6166666666666667,5.283333333333333,97
25,2023-11-21,23:50:30,09:39:30,8.766666666666667,1.05,9.816666666666666,97
26,2023-11-22,00:33:00,08:11:30,6.933333333333334,0.7,7.633333333333334,95
27,2023-11-23,00:15:00,07:58:30,7.1,0.6166666666666667,7.716666666666667,97
0,2023-11-23,00:15:00,07:58:30,7.1,0.6166666666666667,7.716666666666667,97
1,2023-11-24,01:08:30,09:54:30,7.833333333333333,0.9333333333333333,8.766666666666667,96
2,2023-11-25,03:31:30,09:41:00,5.666666666666667,0.48333333333333334,6.15,96
3,2023-11-26,02:13:00,09:52:30,6.8,0.85,7.65,92
4,2023-11-27,01:22:30,07:31:30,5.116666666666666,1.0333333333333334,6.15,96
5,2023-11-28,01:40:30,08:24:30,5.85,0.8833333333333333,6.733333333333333,98
6,2023-11-29,00:47:00,09:33:30,7.983333333333333,0.7833333333333333,8.766666666666667,97
7,2023-11-30,23:19:30,06:44:30,6.283333333333333,1.1333333333333333,7.416666666666667,91
8,2023-12-01,23:09:30,06:30:30,6.716666666666667,0.6333333333333333,7.35,97
9,2023-12-02,00:25:30,08:37:30,7.016666666666667,1.1833333333333333,8.2,95
10,2023-12-03,01:03:30,08:20:30,6.316666666666666,0.9666666666666667,7.283333333333333,92
11,2023-12-04,01:22:00,07:51:30,5.8,0.6833333333333333,6.483333333333333,96
12,2023-12-05,23:52:30,07:45:30,6.6,1.2833333333333334,7.883333333333334,95
13,2023-12-06,23:02:30,06:25:30,6.3,1.0833333333333333,7.383333333333334,91
14,2023-12-07,00:22:00,07:00:30,5.616666666666666,1.0166666666666666,6.633333333333334,91
15,2023-12-08,22:50:30,07:13:30,7.4,0.9833333333333333,8.383333333333333,98
16,2023-12-09,23:07:30,08:48:30,8.6,1.0833333333333333,9.683333333333334,98
17,2023-12-10,23:28:00,07:43:30,7.4,0.85,8.25,98
18,2023-12-11,23:42:00,06:49:30,6.316666666666666,0.8,7.116666666666666,96
19,2023-12-12,00:16:30,07:32:30,6.383333333333334,0.8833333333333333,7.266666666666667,98
20,2023-12-13,01:32:30,05:56:30,4.016666666666667,0.38333333333333336,4.4,95
21,2023-12-14,01:11:30,10:42:30,8.433333333333334,1.0833333333333333,9.516666666666667,94
22,2023-12-15,00:34:30,10:55:30,9.216666666666667,1.1333333333333333,10.35,98
23,2023-12-16,01:13:30,09:23:30,7.166666666666667,1.0,8.166666666666666,98
24,2023-12-17,01:47:30,08:35:30,5.916666666666667,0.8833333333333333,6.8,95
25,2023-12-18,01:15:00,10:26:30,8.083333333333334,1.1,9.183333333333334,95
26,2023-12-19,00:40:00,09:11:00,7.7,0.8166666666666667,8.516666666666667,98
